2023-04-05 16:23:06,091 - INFO - Fold [1/5], Epoch [69/100], Train Loss: 2.1072, Train Acc: 0.3105, Val Loss: 2.0675, Val Acc: 0.2842
2023-04-05 16:23:07,874 - INFO - Fold [1/5], Epoch [70/100], Train Loss: 2.0983, Train Acc: 0.3105, Val Loss: 2.0657, Val Acc: 0.2842
2023-04-05 16:23:09,652 - INFO - Fold [1/5], Epoch [71/100], Train Loss: 2.0994, Train Acc: 0.3105, Val Loss: 2.0687, Val Acc: 0.2842
2023-04-05 16:23:11,434 - INFO - Fold [1/5], Epoch [72/100], Train Loss: 2.1077, Train Acc: 0.3105, Val Loss: 2.0786, Val Acc: 0.2842
2023-04-05 16:23:13,213 - INFO - Fold [1/5], Epoch [73/100], Train Loss: 2.1063, Train Acc: 0.3105, Val Loss: 2.0596, Val Acc: 0.2842
2023-04-05 16:23:14,994 - INFO - Fold [1/5], Epoch [74/100], Train Loss: 2.0988, Train Acc: 0.3105, Val Loss: 2.0732, Val Acc: 0.2842
2023-04-05 16:23:16,780 - INFO - Fold [1/5], Epoch [75/100], Train Loss: 2.0976, Train Acc: 0.3105, Val Loss: 2.0670, Val Acc: 0.2842
2023-04-05 16:23:18,558 - INFO - Fold [1/5], Epoch [76/100], Train Loss: 2.0961, Train Acc: 0.3105, Val Loss: 2.0725, Val Acc: 0.2842
2023-04-05 16:23:20,339 - INFO - Fold [1/5], Epoch [77/100], Train Loss: 2.0969, Train Acc: 0.3105, Val Loss: 2.0726, Val Acc: 0.2842
2023-04-05 16:23:22,117 - INFO - Fold [1/5], Epoch [78/100], Train Loss: 2.0971, Train Acc: 0.3105, Val Loss: 2.0630, Val Acc: 0.2842
2023-04-05 16:23:23,895 - INFO - Fold [1/5], Epoch [79/100], Train Loss: 2.0965, Train Acc: 0.3105, Val Loss: 2.0750, Val Acc: 0.2842
2023-04-05 16:23:25,672 - INFO - Fold [1/5], Epoch [80/100], Train Loss: 2.0978, Train Acc: 0.3105, Val Loss: 2.0769, Val Acc: 0.2842
2023-04-05 16:23:27,452 - INFO - Fold [1/5], Epoch [81/100], Train Loss: 2.1013, Train Acc: 0.3105, Val Loss: 2.0764, Val Acc: 0.2842
2023-04-05 16:23:29,230 - INFO - Fold [1/5], Epoch [82/100], Train Loss: 2.1094, Train Acc: 0.3105, Val Loss: 2.0633, Val Acc: 0.2842
2023-04-05 16:23:31,007 - INFO - Fold [1/5], Epoch [83/100], Train Loss: 2.1016, Train Acc: 0.3105, Val Loss: 2.0962, Val Acc: 0.2842
2023-04-05 16:23:32,785 - INFO - Fold [1/5], Epoch [84/100], Train Loss: 2.1008, Train Acc: 0.3105, Val Loss: 2.0486, Val Acc: 0.2842
2023-04-05 16:23:34,565 - INFO - Fold [1/5], Epoch [85/100], Train Loss: 2.1105, Train Acc: 0.3105, Val Loss: 2.0844, Val Acc: 0.2842
2023-04-05 16:23:36,346 - INFO - Fold [1/5], Epoch [86/100], Train Loss: 2.0985, Train Acc: 0.3105, Val Loss: 2.0818, Val Acc: 0.2842
2023-04-05 16:23:38,124 - INFO - Fold [1/5], Epoch [87/100], Train Loss: 2.1044, Train Acc: 0.3105, Val Loss: 2.0601, Val Acc: 0.2842
2023-04-05 16:23:39,901 - INFO - Fold [1/5], Epoch [88/100], Train Loss: 2.0980, Train Acc: 0.3105, Val Loss: 2.0667, Val Acc: 0.2842
2023-04-05 16:23:41,678 - INFO - Fold [1/5], Epoch [89/100], Train Loss: 2.1061, Train Acc: 0.3105, Val Loss: 2.0835, Val Acc: 0.2842
2023-04-05 16:23:43,457 - INFO - Fold [1/5], Epoch [90/100], Train Loss: 2.1044, Train Acc: 0.3105, Val Loss: 2.0596, Val Acc: 0.2842
2023-04-05 16:23:45,234 - INFO - Fold [1/5], Epoch [91/100], Train Loss: 2.1033, Train Acc: 0.3105, Val Loss: 2.0564, Val Acc: 0.2842
2023-04-05 16:23:47,010 - INFO - Fold [1/5], Epoch [92/100], Train Loss: 2.1117, Train Acc: 0.3105, Val Loss: 2.1029, Val Acc: 0.2842
2023-04-05 16:23:48,798 - INFO - Fold [1/5], Epoch [93/100], Train Loss: 2.1091, Train Acc: 0.3105, Val Loss: 2.0749, Val Acc: 0.2842
2023-04-05 16:23:50,798 - INFO - Fold [1/5], Epoch [94/100], Train Loss: 2.1133, Train Acc: 0.3105, Val Loss: 2.0720, Val Acc: 0.2842
2023-04-05 16:23:52,637 - INFO - Fold [1/5], Epoch [95/100], Train Loss: 2.1046, Train Acc: 0.3105, Val Loss: 2.0605, Val Acc: 0.2842
2023-04-05 16:23:54,432 - INFO - Fold [1/5], Epoch [96/100], Train Loss: 2.0989, Train Acc: 0.3105, Val Loss: 2.1012, Val Acc: 0.2842
2023-04-05 16:23:56,224 - INFO - Fold [1/5], Epoch [97/100], Train Loss: 2.1028, Train Acc: 0.3105, Val Loss: 2.0759, Val Acc: 0.2842
